OBJECTID,Join_Count,TARGET_FID,JOIN_FID,COUNT_,SUM_Acres_Restored,CODE,Project_Number,Project_Name,Treatment_ID,Year_Start,Year_End,COMPLETION_DATE,longitude,latitude,State,County,Database_,Site_Name,Refuge_Name,FS_UNIT_NAME,Acres_Restored,Activity,Management_Type,Subcategory,Treatment,Project_Description,Landowner_type,Lead_Organization,Federal_Project_Partner,non_federal_partners,PARTNER_NAME,Species_mentioned,Plant_species,AFFECTED_Z,Notes,DFP_Notes,Shape__Area,Shape__Length
12,1,6,8821,3,1301,FS794,,,,,2018,5/10/2018,-118.7201521,44.35241513,OR,Grant,FS,060404_CanyonCrkComplex_TreePlantFY2018,,MALHEUR NATIONAL FOREST,1281,Enhancement,Veg Mgmt,Planting,061201 2019 Handwork Cedar North,Reforestation Trust Fund,,,,,,Pollinator,,060404_CanyonCrkComplex_TreePlantFY2018_HABaz,,Lat/long is centroid of polygon,0.00477041273006762,0.26263045784181
13,1,7,1136,2,320,PADUS521,,,,2020,,,-114.98929737,44.26881129,ID,,PADUS,Conservation Easement,,,160,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 04 - Intermountain Region,,,,,,,,lat/long is centroid of county,0.00476194690463672,0.262387867707451
14,1,7,1146,2,320,PADUS531,,,,2020,,,-114.98929737,44.26881129,ID,,PADUS,"Piva, Robert A.",,,160,Conservation,Easement,GAP Status- 2,,,FED,Forest Service Region 04 - Intermountain Region,,,,,,,,lat/long is centroid of county,0.00476194690463672,0.262387867707451
15,1,8,8698,1,605.9,ORWRI796,22470,War on Weeds in the Owyhees 2,,2018,2019,,-117.14852757,42.53111266,OR,Malheur,ORWRI,Lower Middle Fork Owyhee River,,,605.9,Maintenance,Upland,Upland invasive plant control,,Upland treated for non-native or noxious plant species,,ODA,,ODA,,,,,,lat/long is centroid of county,0.00463099585522286,0.258046905341558
16,1,9,1009,1,159,PADUS394,,,,2017,,,-117.19212018,33.4349276,CA,,PADUS,Santa Margarita River Easement,,,159,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00409751011761728,0.239902787112605
17,1,10,1028,1,198,PADUS413,,,,2015,,,-111.39763422,31.89821525,AZ,,PADUS,Ross-Humphreys PPC Mitigation Bank,,,198,Conservation,Easement,GAP Status- 2,,,PVT,Altar Valley Conservation Alliance,,,,,,, ,lat/long is centroid of county,0.00402849483521095,0.237529209141857
18,1,11,3983,2,5878,LTDL98,16751,Mac Rae Wildfire KK4T 2016,49059,2017,,,-113.75326828,43.1496457060001,ID,Lincoln,LTDL,,,,5878,Restoration,Herbicide/Weeds/Chemical,Herbicide,Noxious Weeds: Weed Control - Herbicide Application,"The objective of this treatment is to identify and control the expected noxious weed increase using spot herbicide application on the burned area. In addition, biological control agents for knapweed and leafy spurge would be utilized in areas not easily a",Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00467623380518489,0.259573257807284
19,1,11,8352,2,5878,LTDL306,16751,Mac Rae Wildfire KK4T 2016,55640,2017,,,-113.753781775,43.1532929320001,ID,Lincoln,LTDL,,,,,Restoration,Seeding,Ground Seeding,Ground Seeding: Hand Planting,,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00467623380518489,0.259573257807284
20,1,12,8385,1,205,ORWRI513,17139,Lamberson Canyon Grass Restoration,,2014,2014,,-120.34918745,45.2860727,OR,Gilliam,ORWRI,Lamberson Canyon,,,205,Enhancement,Upland,Upland vegetation planting,,Upland shrubs or herbaceous vegetation planted/reseeded,,Private Landowner,,Private Landowner,,,,,,lat/long is centroid of county,0.00484804262532634,0.265140091079978
21,1,13,4548,4,0.133,MCD550,,,,2015,,,-119.9525093,38.02644018,CA,Tuolumne,MCD,Monarch Waystation 12092,,,0.115,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00433353623157018,0.248003412247452
22,1,13,5170,4,0.133,MCD1497,,,,2017,,,-119.9525093,38.02644018,CA,Tuolumne,MCD,Monarch Waystation 18228,,,0.008,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00433353623157018,0.248003412247452
23,1,13,5709,4,0.133,MCD208,,,,2014,,,-119.9525093,38.02644018,CA,Tuolumne,MCD,Monarch Waystation 9163,,,0.008,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00433353623157018,0.248003412247452
24,1,13,6296,4,0.133,MCD292,,,,2014,,,-119.9525093,38.02644018,CA,Tuolumne,MCD,Sierra Waldorf School,,,0.002,Enhancement,Increase Milkweed to Enhance Habitat and Nectar Resources,Planting,,,Public,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00433353623157018,0.248003412247452
25,1,14,1169,4,30,PADUS554,,,,2020,,,-123.15855923,48.1502276,WA,,PADUS,Dungeness National Wildlife Refuge,,,10,Conservation,Easement,GAP Status- 2,,,UNK,M,,,,,,,,lat/long is centroid of county,0.00510522700642468,0.273290817594299
26,1,14,1170,4,30,PADUS555,,,,2020,,,-123.16948312,48.14866513,WA,,PADUS,Dungeness National Wildlife Refuge,,,10,Conservation,Easement,GAP Status- 2,,,UNK,M,,,,,,,,lat/long is centroid of county,0.00510522700642468,0.273290817594299
27,1,14,1171,4,30,PADUS556,,,,2020,,,-123.17492818,48.14717228,WA,,PADUS,Dungeness National Wildlife Refuge,,,6,Conservation,Easement,GAP Status- 2,,,UNK,M,,,,,,,,lat/long is centroid of county,0.00510522700642468,0.273290817594299
28,1,14,1597,4,30,PADUS982,,,,2010,,,-123.19090789,48.14112218,WA,,PADUS,Dungeness National Wildlife Refuge,,,4,Conservation,Easement,GAP Status- 2,,,PVT,U.S. Fish and Wildlife Service,,,,,,,Derived from data provided by Mesa Land Trust and legal descs. - mesa,lat/long is centroid of county,0.00510522700642468,0.273290817594299
29,1,15,7875,5,54.7,ORWRI49,19841,Calapooia-Santiam Riparian Revegetation- phase 3 (2013-2015) - Site 1,,2013,2014,,-122.93761761,44.38596247,OR,Linn,ORWRI,Sodom Ditch-Calapooia River,,,10.7,Maintenance,Riparian,Riparian invasive plant control,"Treatment of Himalayan blackberry, English ivy, scotch broom, Japanese knotweed, reed canary grass, English hawthorn, thistle, teasel, and false brome.","Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.0047715048262944,0.262626216487458
30,1,15,7876,5,54.7,ORWRI50,20019,Calapooia-Santiam Riparian Revegetation- phase 3 (2013-2015) - Site 2,,2013,2014,,-122.96452499,44.38627237,OR,Linn,ORWRI,Sodom Ditch-Calapooia River,,,9.2,Maintenance,Riparian,Riparian invasive plant control,"Treatment of Himalayan blackberry, English ivy, scotch broom, Japanese knotweed, reed canary grass, English hawthorn, thistle, teasel, and false brome.","Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded",,Farm Service Agency,,Farm Service Agency,,,,,,lat/long is centroid of county,0.0047715048262944,0.262626216487458
31,1,15,7877,5,54.7,ORWRI51,20020,Calapooia-Santiam Riparian Revegetation- phase 3 (2013-2015) - Site 3,,2013,2014,,-122.96229216,44.38510885,OR,Linn,ORWRI,Sodom Ditch-Calapooia River,,,1.8,Maintenance,Riparian,Riparian invasive plant control,"Treatment of Himalayan blackberry, English ivy, scotch broom, Japanese knotweed, reed canary grass, English hawthorn, thistle, teasel, and false brome.","Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded",,Calapooia Watershed Council,,Calapooia Watershed Council,,,,,,lat/long is centroid of county,0.0047715048262944,0.262626216487458
32,1,15,7878,5,54.7,ORWRI52,20021,Calapooia-Santiam Riparian Revegetation- phase 3 (2013-2015) - Site 4,,2013,2014,,-122.96707045,44.38842576,OR,Linn,ORWRI,Sodom Ditch-Calapooia River,,,8,Maintenance,Riparian,Riparian invasive plant control,"Treatment of Himalayan blackberry, English ivy, scotch broom, Japanese knotweed, reed canary grass, English hawthorn, thistle, teasel, and false brome.","Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded",,Calapooia Watershed Council,,Calapooia Watershed Council,,,,,,lat/long is centroid of county,0.0047715048262944,0.262626216487458
33,1,15,7879,5,54.7,ORWRI53,20023,Calapooia-Santiam Riparian Revegetation- phase 3 (2013-2015) - Site 6,,2014,2014,,-122.94116597,44.38525573,OR,Linn,ORWRI,Sodom Ditch-Calapooia River,,,25,Maintenance,Riparian,Riparian invasive plant control,"Treatment of Himalayan blackberry, English ivy, scotch broom, Japanese knotweed, reed canary grass, English hawthorn, thistle, teasel, and false brome.","Riparian treated for non-native or noxious plant species; Riparian trees planted: conifer and hardwood; Riparian shrubs or herbaceous vegetation planted/reseeded",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.0047715048262944,0.262626216487458
34,1,16,8639,2,127.01,ORWRI735,20884,Gorse WARS 2018_Sixes,,2017,2018,,-124.31549307,42.79372557,OR,Curry,ORWRI,Middle Sixes River,,,17.26,Maintenance,Upland,Upland invasive plant control,,Upland treated for non-native or noxious plant species,,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.0046478422536893,0.258550676524968
35,1,16,8737,2,127.01,ORWRI835,22752,Gorse WARS 2019:Curry Strikes Back!_Sixes,,2019,2020,,-124.31663785,42.78888107,OR,Curry,ORWRI,Upper Sixes River,,,109.75,Maintenance,Upland,Upland invasive plant control,,Upland treated for non-native or noxious plant species,,Private Landowners (multiple),,Private Landowners (multiple),,,,,,lat/long is centroid of county,0.0046478422536893,0.258550676524968
36,1,17,5296,1,0.008,MCD1855,,,,2018,,,-117.2741804,48.53234021,WA,Pend Oreille,MCD,Monarch Waystation 19045,,,0.008,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.00514160296870614,0.274514278535327
37,1,18,1457,2,57,PADUS842,,,,2020,,,-122.37111823,48.91155046,WA,,PADUS,"Wetlands Reserve Program (WRP), Whatcom, Washington",,,27,Conservation,Easement,GAP Status- 2,,,PVT,Admin State WA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00518174761100454,0.275685573164725
38,1,18,2276,2,57,PADUS1661,,,,2012,,,-122.36147822,48.88524178,WA,,PADUS,Kronenberg,,,30,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00518174761100454,0.275685573164725
39,1,19,3941,1,,LTDL379,21685,Environmental Management Office Weed Treatments 2018,56769,2018,,,-116.095324194,43.3229529380001,ID,Ada,LTDL,,,,,Maintenance,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00468905234038175,0.259979245675916
40,1,20,965,1,30,PADUS350,,,,2017,,,-109.42895306,38.68302679,UT,,PADUS,Colorado River Corridor Easement,,,30,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00437298060842295,0.249388927336502
41,1,21,926,1,8,PADUS311,,,,2020,,,-109.80783497,38.49468258,UT,,PADUS,Canyonlands National Park,,,8,Conservation,Easement,GAP Status- 2,,,UNK,UNK,,,,,,,Canyonlands National Park,lat/long is centroid of county,0.00436283039880436,0.249041050346818
42,1,22,2854,1,147,PADUS2239,,,,2020,,,-121.83420485,41.99850436,CA,,PADUS,"Wetlands Reserve Program (WRP), Siskiyou, California",,,147,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00459173277113223,0.25670604481156
43,1,23,8798,3,5372,FS771,,,,,2018,5/10/2018,-118.846785,44.24119133,OR,Grant,FS,060401_CanyonCrkComplex_treePlant_FY2018,,MALHEUR NATIONAL FOREST,10,Enhancement,Veg Mgmt,Planting,R060105 Hwy20Unit95 RxBurn 154 ac,Wildlife and Fisheries Habitat Mgt,,,,,,Pollinator,,060401_CanyonCrkComplex_treePlant_FY2018_HABaz,,Lat/long is centroid of polygon,0.00475860456117516,0.262243091517507
44,1,23,8799,3,5372,FS772,,,,,2018,5/10/2018,-118.846785,44.24119133,OR,Grant,FS,060401_CanyonCrkComplex_treePlant_FY2018,,MALHEUR NATIONAL FOREST,5352,Enhancement,Veg Mgmt,Planting,061201 2019 OSB HandMeadow 21,Reforestation Trust Fund,,,,,,Pollinator,,060401_CanyonCrkComplex_treePlant_FY2018_HABaz,,Lat/long is centroid of polygon,0.00475860456117516,0.262243091517507
45,1,23,8800,3,5372,FS773,,,,,2018,5/10/2018,-118.846785,44.24119133,OR,Grant,FS,060401_CanyonCrkComplex_treePlant_FY2018,,MALHEUR NATIONAL FOREST,10,Enhancement,Veg Mgmt,Planting,R060105 SAFR RxBurn 154 acres,Vegetation and Watershed Mgt,,,,,,Pollinator,,060401_CanyonCrkComplex_treePlant_FY2018_HABaz,,Lat/long is centroid of polygon,0.00475860456117516,0.262243091517507
46,1,24,465,9,447.728,XS7,,,,2019,2019,,-121.9052762,38.69297613,CA,Yolo,XS,,,,0.1,Enhancement,,Planting,,"Xerces habitat kit, agriculture",,Xerces Society,,,,Pollinator,,,,,0.0043741391164076,0.24937834492393
47,1,24,4582,9,447.728,MCD584,,,,2015,,,-121.9016322,38.68382558,CA,Yolo,MCD,Monarch Waystation 12398,,,0.017,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
48,1,24,4699,9,447.728,MCD836,,,,2016,,,-121.9016322,38.68382558,CA,Yolo,MCD,Monarch Waystation 13319,,,0.115,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
49,1,24,4867,9,447.728,MCD1045,,,,2016,,,-121.9016322,38.68382558,CA,Yolo,MCD,Monarch Waystation 15067,,,0.008,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
50,1,24,4922,9,447.728,MCD1249,,,,2017,,,-121.9016322,38.68382558,CA,Yolo,MCD,Monarch Waystation 15513,,,0.008,Enhancement,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,Planting,,,,Monarch Watch,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
51,1,24,5972,9,447.728,MCD717,,,,2016,,,-121.9016322,38.68382558,CA,Yolo,MCD,PFW-1033586,,,3.64,Maintenance,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,"Establish Riparian Herbaceous Cover,Planting",,,Private,United States Fish and Wildlife Service,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
52,1,24,6023,9,447.728,MCD1215,,,,2017,2017,,-121.9016322,38.68382558,CA,Yolo,MCD,PFW-1431009,,,437.11,Maintenance,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,"Herbicide Treatment to Enhance,Planting,Establish Riparian Herbaceous Cover,Establish Field Border",,,Private,United States Fish and Wildlife Service,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
53,1,24,6056,9,447.728,MCD2098,,,,2019,,,-121.9016322,38.68382558,CA,Yolo,MCD,PFW-1768289,,,3.5,Maintenance,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,"Planting,Establish Riparian Herbaceous Cover",,,Private,United States Fish and Wildlife Service,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
54,1,24,6083,9,447.728,MCD26,,,,2013,2014,,-121.9016322,38.68382558,CA,Yolo,MCD,PFW-717483,,,3.23,Maintenance,Increase Milkweed and Blooming Nectar Plants to Enhance Habitat and Nectar Resources,"Establish Riparian Herbaceous Cover,Planting,Establish Field Border",,,Private,United States Fish and Wildlife Service,,,,Monarch,,,,lat/long is centroid of county,0.0043741391164076,0.24937834492393
55,1,25,1022,1,20,PADUS407,,,,2020,,,-111.35819167,35.4664217,AZ,,PADUS,Wupatki National Monument,,,20,Conservation,Easement,GAP Status- 2,,,UNK,UNK,,,,,,,Wupatki National Monument,lat/long is centroid of county,0.00419579871095266,0.243303010844671
56,1,26,3057,2,567,PADUS2442,,,,2017,,,-122.04170059,39.94996287,CA,,PADUS,Deer Creek,,,369,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00445125924761669,0.251991559048107
57,1,26,3062,2,567,PADUS2447,,,,2017,,,-122.02496136,39.96175741,CA,,PADUS,Deer Creek Easement,,,198,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00445125924761669,0.251991559048107
58,1,27,3598,1,79,FS1316,,,,,2017,5/31/2017,-122.4731466,43.77315689,OR,Lane,FS,061810_FY17_PrecribedBurning_OWTFR,,WILLAMETTE NATIONAL FOREST,79,Maintenance,Fuels,Prescribed Fire,FY17 Prescribed Burning OWTFR,Brush Disposal,,,,,,Pollinator,,061810_FY17_PrescribedBurning_OWTFR,,Lat/long is centroid of polygon,0.00472503453784157,0.261109684478926
59,1,28,7995,2,18.36,ORWRI191,19650,Upper Grande Ronde Invasive Weed Control,,2015,2017,,-118.37562549,45.25518823,OR,Union,ORWRI,Warm Springs Creek-Grande Ronde River,,,9.18,Maintenance,Riparian,Riparian invasive plant control,Treatment of leafy spurge using herbicide,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,Tri-County Cooperative Weed Management Area,,Tri-County Cooperative Weed Management Area,,,,,,lat/long is centroid of county,0.00484253260219702,0.264982848716944
60,1,28,7996,2,18.36,ORWRI192,19650,Upper Grande Ronde Invasive Weed Control,,2015,2017,,-118.37562549,45.25518823,OR,Union,ORWRI,Warm Springs Creek-Grande Ronde River,,,9.18,Maintenance,Riparian,Riparian invasive plant control,Treatment of leafy spurge using herbicide,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,Tri-County Cooperative Weed Management Area,,Tri-County Cooperative Weed Management Area,,,,,,lat/long is centroid of county,0.00484253260219702,0.264982848716944
61,1,29,4118,1,7405,LTDL401,21901,Road Fires L3M7 L3L6 L0PT Emergency Stabilization and Rehabilitation 2018,57283,2018,,,-115.38671333,41.251393985,NV,Elko,LTDL,,,,7405,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,"The objective of the noxious weeds treatment is to, for the purposes of biotic integrity, decrease noxious species by 80 percent in post fire monitoring within 5 years. To Inventory and treat infestations of new and existing noxious weeds for the manageme",Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00453769628211376,0.254940926561521
62,1,30,2283,6,68,PADUS1668,,,,2012,,,-121.40144979,48.52857834,WA,,PADUS,Unknown,,,1,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
63,1,30,2310,6,68,PADUS1695,,,,2012,,,-121.39152846,48.52716373,WA,,PADUS,Unknown,,,3,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
64,1,30,2323,6,68,PADUS1708,,,,2012,,,-121.40213027,48.52942681,WA,,PADUS,Unknown,,,12,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
65,1,30,2324,6,68,PADUS1709,,,,2012,,,-121.39956821,48.52901412,WA,,PADUS,Unknown,,,17,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
66,1,30,2325,6,68,PADUS1710,,,,2012,,,-121.42488179,48.53450217,WA,,PADUS,Unknown,,,22,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
67,1,30,2343,6,68,PADUS1728,,,,2012,,,-121.39644988,48.52902253,WA,,PADUS,Unknown,,,13,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00514253079700211,0.274481297463409
68,1,31,8696,2,10.8,ORWRI794,22358,Thompson - Plants for People II - 2017-2019,,2017,2019,,-123.61909507,45.06330845,OR,Polk,ORWRI,Rogue River-South Yamhill River,,,8.8,Maintenance,Upland,Upland invasive plant control,,"Upland shrubs or herbaceous vegetation planted/reseeded; Upland treated for non-native or noxious plant species",,Institute for Applied Ecology,,Institute for Applied Ecology,,,,,,lat/long is centroid of county,0.00482675962302892,0.264416545989737
69,1,31,9077,2,10.8,ORWRI880,17495,Nelson's Checkermallow Recovery Project Phase II - CTGR Tyee Nature Reserve,,2010,2014,,-123.61128883,45.07520091,OR,Polk,ORWRI,Rogue River-South Yamhill River,,,2,Maintenance,Wetland,Wetland invasive plant control,,"Wetland vegetation planted; Wetland treated for non-native or noxious plant species",,Confederated Tribes of Grand Ronde,,Confederated Tribes of Grand Ronde,,,,,,lat/long is centroid of county,0.00482675962302892,0.264416545989737
70,1,32,2544,6,1046,PADUS1929,,,,2020,,,-120.77543297,37.07209158,CA,,PADUS,Grasslands Wildlife Management Area,,,79,Conservation,Easement,GAP Status- 2,,,UNK,C,,,,,,,,lat/long is centroid of county,0.00428003450406322,0.246171620440634
71,1,32,2545,6,1046,PADUS1930,,,,2020,,,-120.78530811,37.07531871,CA,,PADUS,Grasslands Wildlife Management Area,,,415,Conservation,Easement,GAP Status- 2,,,UNK,C,,,,,,,,lat/long is centroid of county,0.00428003450406322,0.246171620440634
